식품명,1회제공량(g),에너지(㎉),단백질(g),지방(g),탄수화물(g)
가지,100.0,19.0,1.13,0.03,4.36
감자스프,180.0,229.0,5.0,17.0,16.0
감,100.0,51.0,0.41,0.04,13.66
게맛살,100.0,118.0,10.6,0.1,18.6
거봉포도,100.0,60.0,0.4,0.27,15.73
게장,250.0,155.0,17.6,2.8,15.1
고등어구이,200.0,551.0,47.7,40.0,0.4
고추장아찌,60.0,49.0,1.2,1.2,8.4
군고구마,100.0,189.0,1.01,0.16,45.96
귤,100.0,73.0,1.19,0.13,18.77
고추,100.0,29.0,1.71,0.19,6.42
곶감,100.0,214.0,1.93,0.08,57.45
김,100.0,0.0,0.0,0.0,0.0
김치찌개,400.0,243.032,15.069,15.005,11.929
꿀,100.0,294.0,0.2,0.0,79.7
김치볶음밥,330.0,550.0,17.6,30.3,51.9
달걀볶음밥,260.0,584.0,17.2,29.3,63.0
녹색피망,100.0,22.0,0.9,0.04,5.36
단호박,100.0,57.0,1.19,0.65,13.63
당근케이크,520.0,1900.0,34.0,112.0,189.0
닭갈비,400.0,595.61,45.9,25.8,44.9
닭가슴살,30.0,36.0,0.0,0.0,0.0
데리야끼치킨,150.0,457.5,30.0,16.5,46.5
돼지갈비찜,300.0,581.0,39.9,37.0,22.3
두부,100.0,97.0,9.62,4.63,3.75
떡국,700.0,588.0,24.0,3.7,114.6
딸기,567.0,331.6,1.7,0.0,0.0
등심스테이크,200.0,388.0,60.4,16.1,0.3
레몬,100.0,117.7,0.5,0.0,0.0
롤케이크,100.0,311.0,7.4,11.8,44.0
마른오징어,100.0,353.0,67.8,6.9,0.2
미트볼,301.0,480.0,7.0,0.0,0.0
미역나물,100.0,35.0,6.0,0.9,9.3
무우,100.0,20.0,0.67,0.12,4.34
만두,220.0,397.0,19.0,18.0,39.8
미소장국,21.0,24.4,1.7,0.5,3.3
멜론,100.0,40.0,1.5,0.04,9.64
방울토마토,100.0,25.0,1.0,0.13,6.02
밤,100.0,151.0,3.28,0.5,33.39
백도,100.0,49.0,0.59,0.04,13.1
버터쿠키,30.0,42.84,0.36,2.16,5.22
복숭아,100.0,130.3,1.6,0.0,0.0
보쌈,100.0,209.0,12.0,13.0,11.0
베이컨구이,100.0,548.0,35.73,43.27,1.35
브로콜리,100.0,27.0,3.5,0.4,4.3
봉골레파스타,350.0,780.0,19.0,45.0,74.0
블루베리,135.0,204.0,2.0,0.0,0.0
붕어빵,100.0,254.0,4.81,6.44,44.12
비엔나소시지,30.0,65.0,4.0,4.6,1.0
부대찌개,600.0,399.5,18.4,18.6,39.7
브라우니,85.0,406.0,0.0,0.0,0.0
사과,175.0,45.0,0.0,0.0,11.0
사탕,100.0,379.0,0.31,0.55,97.57
사과파이,100.0,184.0,2.5,3.9,34.8
산딸기,100.0,55.0,1.35,0.22,13.55
삼계탕,900.0,911.0,96.1,43.2,34.6
삼겹살구이,200.0,933.0,45.1,83.4,0.7
상추,100.0,10.0,0.6,0.1,2.1
석류,200.0,220.0,0.0,0.0,52.0
스크램블드에그,110.0,237.0,13.0,19.3,2.8
숙주나물,50.0,17.0,1.1,0.8,1.5
수박,100.0,135.0,1.2,1.8,29.0
솜사탕,100.0,119.1,1.3,0.0,0.0
시리얼바,35.0,130.0,3.4,5.8,21.5
스파게티,500.0,642.583,24.349,19.152,93.204
쌀밥,100.0,152.0,3.0,0.1,33.2
아보카도샐러드,252.0,250.0,39.0,0.0,0.0
어묵국,350.0,106.0,5.2,3.6,13.4
앵두,100.0,374.8,5.6,0.4,87.2
양배추쌈,195.0,256.0,7.31,12.95,29.06
연어구이,100.0,198.0,29.3,7.9,0.1
연어회,100.0,138.0,22.5,4.5,0.1
오렌지,175.0,40.0,0.0,0.0,10.0
오코노미야끼,240.0,525.0,20.66,21.45,61.31
오리로스구이,250.0,797.14,43.058,64.066,12.078
오이피클,100.0,91.0,0.38,0.12,25.07
자두,100.0,26.0,0.5,0.6,5.3
우동,800.0,679.0,14.3,25.8,97.7
족발,250.0,582.0,65.1,34.8,2.3
찐빵,250.0,532.0,13.0,0.3,119.4
츄러스,70.0,252.0,4.6,7.9,40.7
참치회,112.0,121.0,26.19,1.06,0.0
천도복숭아,100.0,32.0,0.93,0.05,7.85
퀘사디아,197.0,465.0,49.0,0.0,0.0
키위,100.0,64.0,0.8,1.0,14.8
콩나물,50.0,25.344,1.68,1.65,0.944
크로와상,100.0,495.0,10.0,32.0,42.0
파인애플,100.0,53.0,0.46,0.04,14.32
파전,150.0,292.799,6.834,14.026,34.807
피자,150.0,402.75,17.1,19.8,3.6
피스타치오,100.0,583.0,22.9,48.22,24.66
펜네파스타,680.0,1285.0,39.0,64.0,138.0
프렌치토스트,160.0,499.0,16.0,28.0,45.0
햄샌드위치,200.0,439.0,24.9,23.8,31.3
해시브라운,57.0,150.0,2.0,0.0,0.0
후라이드치킨,200.0,530.0,35.5,33.7,21.3
후랑크소시지,100.0,233.2,16.6,14.8,6.2
호두파이,64.0,275.0,5.0,0.0,0.0
떡볶이,180.0,260.0,6.3,5.3,46.7
후렌치후라이,102.0,291.0,4.0,0.0,0.0
